Skenario,Kondisi,Top-1,Top-2,Top-3,Top-4,Top-5
Jarak Dekat (< 7m),Original,83.64%,89.17%,94.01%,95.39%,96.54%
Jarak Dekat (< 7m),Restored,75.68%,82.95%,84.55%,86.59%,86.82%
Jarak Menengah (7-12m),Original,53.76%,66.51%,77.68%,81.09%,86.10%
Jarak Menengah (7-12m),Restored,70.00%,79.55%,84.09%,87.05%,88.41%
Jarak Jauh (>= 12m),Original,12.76%,21.76%,33.26%,44.98%,51.88%
Jarak Jauh (>= 12m),Restored,36.36%,53.93%,63.84%,74.38%,82.02%
Ketinggian 1.5m,Original,58.82%,66.18%,73.24%,77.06%,81.18%
Ketinggian 1.5m,Restored,61.00%,72.43%,78.59%,84.46%,86.51%
Ketinggian 3m,Original,57.52%,64.90%,73.16%,79.35%,82.89%
Ketinggian 3m,Restored,67.74%,80.94%,84.75%,88.56%,92.67%
Ketinggian 4m,Original,50.88%,60.29%,66.47%,72.65%,76.47%
Ketinggian 4m,Restored,63.93%,74.49%,80.06%,84.75%,89.15%
Ketinggian 5m,Original,27.71%,40.06%,55.72%,62.35%,68.67%
Ketinggian 5m,Restored,46.92%,58.36%,64.81%,71.85%,74.19%
Semua Data Uji,Original,48.85%,57.96%,67.21%,72.91%,77.35%
Semua Data Uji,Restored,59.90%,71.55%,77.05%,82.40%,85.63%
