Skenario,Metode,Akurasi (Top-1),Recall,F1-Score,Peningkatan
Jarak Dekat (< 7m),Tanpa Restorasi,85.48%,0.85,0.86,
Jarak Dekat (< 7m),Dengan Restorasi,77.27%,0.77,0.80,-9.6%
Jarak Menengah (7-12m),Tanpa Restorasi,55.58%,0.56,0.58,
Jarak Menengah (7-12m),Dengan Restorasi,73.64%,0.74,0.73,+32.5%
Jarak Jauh (>= 12m),Tanpa Restorasi,10.67%,0.11,0.04,
Jarak Jauh (>= 12m),Dengan Restorasi,39.88%,0.40,0.38,+273.7%
Ketinggian 1.5m,Tanpa Restorasi,58.24%,0.58,0.64,
Ketinggian 1.5m,Dengan Restorasi,65.69%,0.66,0.66,+12.8%
Ketinggian 3m,Tanpa Restorasi,57.82%,0.58,0.63,
Ketinggian 3m,Dengan Restorasi,71.26%,0.71,0.71,+23.3%
Ketinggian 4m,Tanpa Restorasi,51.47%,0.52,0.57,
Ketinggian 4m,Dengan Restorasi,67.16%,0.67,0.67,+30.5%
Ketinggian 5m,Tanpa Restorasi,29.22%,0.29,0.30,
Ketinggian 5m,Dengan Restorasi,47.21%,0.47,0.46,+61.6%
Semua Data Uji,Tanpa Restorasi,49.30%,0.49,0.55,
Semua Data Uji,Dengan Restorasi,62.83%,0.63,0.63,+27.5%
